56	18	42	23	24	22
52	19	40	28	21	25
51	20	35	23	28	27
36	13	34	20	22	25
45	12	35	25	22	25
67	17	25	20	19	16
42	12	36	23	22	29
71	19	34	21	24	34
47	16	37	31	30	19
48	13	36	17	25	22
45	19	29	24	17	22
39	9	27	29	30	32
43	18	37	24	31	31
52	19	35	27	33	24
29	12	32	27	36	34
30	14	42	31	37	28
25	8	34	19	25	23
73	23	36	26	30	27
46	18	30	18	23	20
43	20	26	29	16	27
34	13	33	24	26	17
24	9	30	30	20	28
32	18	33	20	29	25
48	19	31	21	27	24
85	24	30	23	31	19
27	8	24	29	30	28
32	11	36	31	30	35
35	14	42	29	21	29
22	8	26	13	24	25
43	23	38	16	28	10
36	18	30	34	21	18
36	10	35	30	27	27
32	11	31	30	21	31
35	28	31	18	19	14
